classification,mapped_internal_status,automation_note,id,npdes_id,source,severity,description,internal_value,external_value,internal_source_table,internal_source_id,external_source_id,detected_at,reviewed_at,updated_at,dismiss_reason,review_notes,recurrence_count
one_click_align_candidate,terminated,"Confirm permit lifecycle, then set internal status to terminated.",03c27ce3-4da2-4241-b569-1a1e769472be,TN0063592,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,npdes_permits,9b6c8d7c-4203-4b42-9809-f8f32368b7fd,aee64465-3582-4871-9354-3b827b7fb53d,2026-07-02T22:29:43.350635+00:00,,2026-07-02T22:29:43.350635+00:00,,,1
one_click_align_candidate,terminated,"Confirm permit lifecycle, then set internal status to terminated.",42cb3ea1-2d87-46b8-a3e5-42b03fd8451f,TN0069159,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,npdes_permits,53840155-c3f0-41e4-930c-5fcfecb8c3e6,c729ed1d-efe6-4671-96e1-84c4e05ed042,2026-07-02T22:29:46.769191+00:00,,2026-07-02T22:29:46.769191+00:00,,,1
one_click_align_candidate,terminated,"Confirm permit lifecycle, then set internal status to terminated.",dc7d1cdd-b37d-48db-9212-ce2480d4fc59,TN0071307,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,npdes_permits,449e0db8-a180-4d00-ba8a-0e994b8989e7,eefe686b-9867-46d5-948c-9ec8e43b8f4d,2026-07-02T22:29:52.623385+00:00,,2026-07-02T22:29:52.623385+00:00,,,1
one_click_align_candidate,terminated,"Confirm permit lifecycle, then set internal status to terminated.",3be08121-5f96-44eb-9e69-b110697fedea,TN0071803,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,npdes_permits,9a8372e2-25e4-4438-9a18-87e6dbe907ab,37a70ea2-5d98-4bbc-8e3d-2227ee94743c,2026-07-02T22:29:55.665819+00:00,,2026-07-02T22:29:55.665819+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",e19d2746-b77f-44f8-b135-97ad90550992,TN0072168,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,b42cd0da-2005-4031-90dd-50f9c3aa445a,02fe2028-e3ba-4fb5-b412-a2bec69ee0ee,2026-07-02T22:29:58.747832+00:00,,2026-07-02T22:29:58.747832+00:00,,,1
one_click_align_candidate,terminated,"Confirm permit lifecycle, then set internal status to terminated.",9ecc7c9d-4b6d-4605-b6af-e41fe6cd5582,TN0072419,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,npdes_permits,02ebfe69-db07-4865-9afc-a1fb6ee61a2d,3377733e-12d7-405a-b39f-f180a4cf7f24,2026-07-02T22:30:01.783308+00:00,,2026-07-02T22:30:01.783308+00:00,,,1
one_click_align_candidate,terminated,"Confirm permit lifecycle, then set internal status to terminated.",2421fb04-cc65-44a5-b16f-d4a2ac63e9e1,TN0072729,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,npdes_permits,fec657db-be4c-4b82-bec6-060b5cf32013,c0f3eae0-7e2a-4654-b723-5a869a4d29c0,2026-07-02T22:30:04.906241+00:00,,2026-07-02T22:30:04.906241+00:00,,,1
one_click_align_candidate,terminated,"Confirm permit lifecycle, then set internal status to terminated.",aaefc30b-0a10-48a4-84bf-7357ea06fa89,TN0076180,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,npdes_permits,9310a3ff-c52c-4c31-a210-2d9175419169,893567ab-cc58-4767-9388-eb2cf748bd2b,2026-07-02T22:30:07.986416+00:00,,2026-07-02T22:30:07.986416+00:00,,,1
one_click_align_candidate,terminated,"Confirm permit lifecycle, then set internal status to terminated.",e2b1a7f6-8d46-4b93-b494-76b04993a01c,TN0076368,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,npdes_permits,490eef82-a91c-413c-a023-9c98a85e50a1,b76e74bd-46ea-45c5-85e2-7932af2e384a,2026-07-02T22:30:11.106967+00:00,,2026-07-02T22:30:11.106967+00:00,,,1
one_click_align_candidate,terminated,"Confirm permit lifecycle, then set internal status to terminated.",5bd160a2-57f2-4136-b2d2-063e302b3e89,TN0079120,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,npdes_permits,7cd83daa-8c55-4272-a878-8499eac7b4b3,1cb4d487-a920-4bee-9e9b-99cf5193cba5,2026-07-02T22:30:17.127838+00:00,,2026-07-02T22:30:17.127838+00:00,,,1
