id,npdes_id,severity,description,internal_value,external_value,detected_at
53cd86c9-488c-4ab5-874e-a47242910320,TN0079529,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:30:29.504566+00:00
a1910236-5c48-47fe-a4aa-d05124d27e35,TN0079561,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:30:32.911785+00:00
392aca5e-d431-4d62-b60d-7cb3c55005ec,TN0079570,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:30:35.66496+00:00
275ea9a7-c410-4e4c-a729-a6eb4b279cc2,VA0082058,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:31:09.393098+00:00
93a1fe26-0084-4eb3-9d9a-fc8d5b8c4f28,WV1018698,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:32:41.248984+00:00
769276b1-846a-4f92-bf06-88de3ddb1762,WV1021061,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:33:09.405223+00:00
77fe7390-46e9-4784-a7d3-50e2e6a0620c,WV1021117,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:33:19.728209+00:00
1cb4da6b-f873-43cb-a790-81a1b69984d4,WV1024361,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired; Compliance Tracking Off""",active,Expired; Compliance Tracking Off,2026-07-02T22:34:04.154366+00:00
bef108a2-7f75-4f00-94ae-31cc1befa2a9,WV1025911,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:34:10.381015+00:00
8edba2a1-5e7b-4f3c-97a0-55a984e844c0,WV1026861,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:34:23.285026+00:00
b0a6a529-abf5-4b39-b72b-e9fba2dc532d,WV1027891,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:34:28.942449+00:00
43e57ef4-eb2a-489b-b66c-ddabb0810229,WV1027913,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:34:31.780787+00:00
7de34d9f-5c0f-4ad9-9c57-1e53833ea4ed,KY0106151,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:27:25.722799+00:00
5035a09c-4488-4396-b171-badfa8f93b1b,KYGE40840,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:28:23.085228+00:00
3c541da4-6846-410e-995d-c1b6d3629add,KYGE40869,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T01:59:46.928228+00:00
0869873c-ff4f-4446-984e-5b38d2bc124b,KYGE40869,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:28:27.008173+00:00
eba72d12-79e0-4108-add0-667ed3acf6dd,TN0049964,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:29:31.209042+00:00
b5b72b36-b9f2-4e00-9c98-bde2898dba63,TN0069175,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:29:49.532817+00:00
72c65fc0-bb98-45ad-9c9b-d62dcf31a145,TN0076376,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:30:14.200121+00:00
85ad5d1b-cb92-46ab-a69d-5004003c5054,TN0079294,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:30:20.202566+00:00
b76f7921-6a1b-4f33-b523-ecc152224371,WV0052531,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:31:12.570622+00:00
732c2bdd-d4e9-4c8e-969c-1f25bb1fe814,WV0060216,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:31:15.543017+00:00
329aa3bb-00ca-49a4-9389-ce4b1527a617,WV0062961,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:31:18.588238+00:00
d5fbe0b1-70ac-4eb2-b82a-8742824f3a3e,WV0065048,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:31:22.058245+00:00
140916f8-1452-4e78-ba54-068c31d1960e,WV0090000,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:31:24.711762+00:00
8f6741fc-b250-423e-9b7e-938af2893da0,WV0091952,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:31:27.917844+00:00
bc2cf994-0047-4745-9006-626869a66a36,WV0097446,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:31:31.177718+00:00
c09232e4-e654-49bf-8d2b-130a2cc18e22,WV1005481,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:31:34.325224+00:00
b9509aef-9ddb-4547-bea9-3be68e335b10,WV1005774,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:31:37.099195+00:00
6667fbf7-7c71-420f-b7cf-a225e526ce7a,WV1005944,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:31:40.163859+00:00
d83f2487-1c94-4bb1-b779-17aa3b80f68c,WV1005952,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:31:43.143531+00:00
24485118-7aba-4cca-a812-9af20c537471,WV1005979,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:31:46.237418+00:00
9a36bf5f-8478-4298-a129-716c055077b9,WV1005987,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:31:49.263565+00:00
52810186-9094-4c6f-a7d5-95535441c521,WV1005995,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:31:52.500958+00:00
6efb696b-8598-450a-b96c-605a1728986d,WV1006070,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:31:55.368662+00:00
fe175850-cdae-4e36-bf34-23da0fd3029b,WV1006304,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:31:59.64002+00:00
d01c5195-5970-4c2a-9206-99080854967c,WV1006347,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:32:02.68203+00:00
9469ce4f-96e3-406f-bdd4-1c0ab961ea36,WV1006479,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:32:05.332567+00:00
c55ce93f-8d5d-4734-a045-bd21c66b0330,WV1006614,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:32:07.636724+00:00
6d2473f7-0325-4ec9-9ff3-ed71cad870ff,WV1006681,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:32:10.827379+00:00
5c00f121-cd4d-4b9a-b8e6-27d23a21f7d9,WV1008552,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:32:13.805475+00:00
af879c75-3b3a-4e2c-aa8a-29be5046dc7b,WV1008803,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:32:16.811472+00:00
833fd82d-4b82-4685-9901-39c73c07c603,WV1008838,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:32:19.886209+00:00
a3107867-bfdc-41e1-82bf-6073722cf31c,WV1012045,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:32:22.816804+00:00
