parameter_code,start_date,end_date,status,rows_parsed,rows_deduped,rows_imported,bisect_depth,reason
00400,2023-07-03,2023-08-02,imported,710,710,710,0,
50050,2023-07-03,2023-08-02,empty,0,0,0,0,
00530,2023-07-03,2023-08-02,imported,303,303,303,0,
