permit_number,npdes_id,missing_limit_keys
WV1025929,WV1025929,35
KYGE40999,KYGE40999,24
WV0091952,WV0091952,24
WV1024132,WV1024132,24
WV1021249,WV1021249,18
WV1025911,WV1025911,18
WV1021061,WV1021061,17
KY0106151,KY0106151,16
WV0052531,WV0052531,15
WV1005481,WV1005481,12
WV1026003,WV1026003,12
WV1027913,WV1027913,12
WV1021095,WV1021095,11
WV1027891,WV1027891,10
KYGE40840,KYGE40840,9
WV0065048,WV0065048,9
WV1005944,WV1005944,9
WV1018698,WV1018698,9
WV1021281,WV1021281,9
WV1023781,WV1023781,9
WV1024159,WV1024159,9
WV1018833,WV1018833,8
KY0094510,KY0094510,7
WV1021117,WV1021117,7
WV1026861,WV1026861,7
